"","state.abb","name","government_ID","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","geoID","population","city_place"
"5815","CA","calimesa","05203320200000",67127,2020,5026645,0,3603717,339511,0,0,860069,0,0,0,223348,2835669,672952,5567411,5920282,6167934,8828380,0,0,0,14996314,"1600000US0609864",10026,"Calimesa city"
"5816","AL","hueytown","01203750400000",110594,2020,22914966,0,1049276,150733,0,0,11049047,0,552434,0,2788173,5094268,872890,594450,12140379,2950905,15751082,0,0,0,18701987,"1600000US0136448",16776,"Hueytown city"
"5817","AL","millbrook","01202690100000",110504,2020,26837209,0,607705,0,0,384582,2134013,0,6212527,0,424506,6264206,89178,405383,10539357,1789560,15508564,0,0,0,17298124,"1600000US0148712",16564,"Millbrook city"
"5818","TX","liberty","44214600400000",47625,2020,27508290,19567821,2710093,0,0,380389,4332646,0,0,0,517339,21017320,1165074,0,15988989,8422212,29749171,0,0,0,38171383,"1600000US4842568",8279,"Liberty city"
"5819","CA","hughson","05205090100000",67384,2020,19543544,0,726952,0,11147045,3321671,3290773,0,0,0,122143,6439206,1085983,1384350,2561683,3287869,8183353,3175359,97748,0,11471222,"1600000US0634904",7481,"Hughson city"
"5820","AL","thomasville","01201300500000",1265820,2020,33283776,14243947,1378270,0,0,1315656,1382493,0,0,0,313686,4810544,338306,440836,11890555,3466729,14013512,0,0,0,17480241,"1600000US0175960",3649,"Thomasville city"
"5821","CA","kerman","05201000700000",31760,2020,12748725,2908286,1171129,0,0,4454153,3640588,0,0,0,574569,6121842,2419245,927031,8106192,3799841,13774469,0,0,0,17574310,"1600000US0638226",16016,"Kerman city"
"5822","CA","hidden hills","05201970200000",67361,2020,2402386,0,1291354,0,0,0,504959,0,566945,0,39128,816265,105000,499095,3546180,1368595,3597945,0,0,0,4966540,"1600000US0633518",1725,"Hidden Hills city"
"5823","FL","debary","10206420100000",50655,2020,7755565,1072000,1093007,293,0,5329000,0,0,70067,0,191198,5417050,1099909,305420,12078872,2710138,16191113,0,0,0,18901251,"1600000US1216675",22260,"DeBary city"
"5824","CA","clayton","05200770100000",67178,2020,6096697,0,538195,0,0,0,4874908,0,535900,0,147694,1025394,1024732,559220,6000545,505374,8104517,24702,121,0,8609891,"1600000US0613882",11070,"Clayton city"
"5825","FL","belle glade","10205000100000",68600,2020,2263371,0,565433,158227,0,0,0,6689294,199015,0,1340696,5605358,408629,1386479,9425250,591941,16233775,0,0,0,16825716,"1600000US1205200",16698,"Belle Glade city"
"5826","CA","capitola","05204400100000",67142,2020,30891671,0,2331255,2081485,0,0,24148410,0,1572208,0,758313,2875646,500949,7357094,13250904,6077389,17907204,0,0,0,23984593,"1600000US0611040",9938,"Capitola city"
"5827","FL","bradenton beach","10204100300000",96389,2020,513456,0,308624,113298,0,0,0,0,0,0,91534,589393,112130,215499,3498507,213648,4201881,0,0,0,4415529,"1600000US1207975",908,"Bradenton Beach city"
"5828","FL","brooksville","10202700100000",68693,2020,16194100,5494349,1352623,0,610025,1796180,3548456,155558,650518,0,200401,8983704,71273,476996,6614130,3258534,12887569,5285900,191626,131316,16146103,"1600000US1208800",8890,"Brooksville city"
"5829","FL","bunnell","10201800200000",68705,2020,12050505,3067000,1033847,0,48674,3030815,4507686,0,247614,0,114869,4157849,404598,2697390,2718887,2356428,7622296,0,0,0,9978724,"1600000US1209550",3276,"Bunnell city"
"5830","CA","santa fe springs","05201951000000",64762,2020,187427607,7983729,8024778,639245,0,0,126703953,0,41230455,0,2845447,21628460,4441332,2116919,68259472,13105814,83340369,12517188,306513,0,96446183,"1600000US0669154",19219,"Santa Fe Springs city"
"5831","CA","dunsmuir","05204700200000",67252,2020,4913942,0,680422,0,0,2692858,1316849,0,0,0,147813,2230333,540693,201047,987731,-333007,4292811,0,0,0,3959804,"1600000US0620242",1707,"Dunsmuir city"
"5832","CA","duarte","05201950300000",67245,2020,27719368,0,2753825,2750427,101806,0,14091516,0,6669454,0,985887,6105779,2283589,882933,12763807,-1968734,24004842,0,0,0,22036108,"1600000US0619990",21727,"Duarte city"
